Timestamp,Memory Usage (%)
2023-10-26 22:30:35,3.12GB,1
2023-10-26 22:31:35,3.12GB,1
2023-10-26 22:32:35,3.12GB,1
2023-10-26 22:33:35,3.13GB,1
2023-10-26 22:34:36,3.13GB,1
2023-10-26 22:35:36,3.12GB,1
2023-10-26 22:36:36,3.13GB,1
2023-10-26 22:37:36,3.13GB,1
2023-10-26 22:38:36,3.12GB,1
2023-10-26 22:39:36,3.11GB,1
2023-10-26 22:40:36,3.11GB,1
2023-10-26 22:41:36,3.11GB,1
2023-10-26 22:42:36,3.12GB,1
2023-10-26 22:43:36,3.13GB,1
2023-10-26 22:44:36,3.12GB,1
2023-10-26 22:45:36,3.12GB,1
2023-10-26 22:46:36,3.07GB,1
2023-10-26 22:47:36,3.07GB,1
2023-10-26 22:48:36,3.07GB,1
2023-10-26 22:49:36,3.07GB,1
2023-10-26 22:50:37,3.07GB,1
2023-10-26 22:51:37,3.08GB,1
2023-10-26 22:52:37,3.08GB,1
2023-10-26 22:53:37,3.07GB,1
2023-10-26 22:54:37,3.08GB,1
2023-10-26 22:55:37,3.07GB,1
2023-10-26 22:56:37,3.07GB,1
2023-10-26 22:57:37,3.07GB,1
2023-10-26 22:58:37,3.08GB,1
2023-10-26 22:59:37,3.10GB,1
2023-10-26 23:00:37,3.10GB,1
2023-10-26 23:01:37,3.11GB,1
2023-10-26 23:02:37,3.08GB,1
2023-10-26 23:03:37,3.07GB,1
2023-10-26 23:04:37,3.07GB,1
2023-10-26 23:05:37,3.07GB,1
2023-10-26 23:06:37,3.08GB,1
2023-10-26 23:07:38,3.07GB,1
2023-10-26 23:08:38,3.08GB,1
2023-10-26 23:09:38,3.07GB,1
2023-10-26 23:10:38,3.07GB,1
2023-10-26 23:11:38,3.07GB,1
2023-10-26 23:12:38,3.07GB,1
2023-10-26 23:13:38,3.06GB,1
2023-10-26 23:14:38,3.08GB,1
2023-10-26 23:15:38,3.10GB,1
2023-10-26 23:16:38,3.11GB,1
2023-10-26 23:17:38,3.11GB,1
2023-10-26 23:18:38,3.68GB,1
2023-10-26 23:19:38,3.80GB,1
2023-10-26 23:20:38,3.94GB,1
2023-10-26 23:21:38,4.09GB,1
2023-10-26 23:22:38,4.25GB,1
2023-10-26 23:23:38,4.41GB,1
2023-10-26 23:24:39,3.75GB,1
2023-10-26 23:25:39,3.89GB,1
2023-10-26 23:26:39,4.09GB,1
2023-10-26 23:27:39,4.17GB,1
2023-10-26 23:28:39,4.32GB,1
2023-10-26 23:29:39,3.67GB,1
2023-10-26 23:30:39,3.69GB,1
2023-10-26 23:31:39,3.74GB,1
2023-10-26 23:32:39,3.64GB,1
2023-10-26 23:33:39,3.65GB,1
2023-10-26 23:34:39,4.02GB,1
2023-10-26 23:35:39,3.73GB,1
2023-10-26 23:36:39,3.74GB,1
2023-10-26 23:37:39,4.10GB,1
2023-10-26 23:38:39,3.81GB,1
2023-10-26 23:39:39,4.16GB,1
2023-10-26 23:40:39,4.18GB,1
2023-10-26 23:41:39,3.89GB,1
2023-10-26 23:42:40,3.84GB,1
2023-10-26 23:43:40,3.86GB,1
2023-10-26 23:44:40,3.64GB,1
2023-10-26 23:45:40,3.64GB,1
2023-10-26 23:46:40,4.01GB,1
2023-10-26 23:47:40,3.73GB,1
2023-10-26 23:48:40,3.72GB,1
2023-10-26 23:49:40,4.09GB,1
2023-10-26 23:50:40,3.81GB,1
2023-10-26 23:51:40,4.23GB,1
2023-10-26 23:52:40,4.14GB,1
2023-10-26 23:53:40,3.86GB,1
2023-10-26 23:54:40,3.20GB,1
2023-10-26 23:55:40,3.83GB,1
2023-10-26 23:56:40,3.72GB,1
2023-10-26 23:57:40,3.72GB,1
2023-10-26 23:58:40,3.31GB,1
2023-10-26 23:59:40,3.26GB,1
2023-10-27 00:00:41,5.04GB,1
2023-10-27 00:01:41,5.05GB,1
2023-10-27 00:02:41,5.05GB,1
2023-10-27 00:03:41,5.06GB,1
2023-10-27 00:04:41,5.18GB,1
2023-10-27 00:05:41,3.08GB,1
2023-10-27 00:06:41,4.09GB,1
2023-10-27 00:07:41,3.09GB,1
2023-10-27 00:08:41,3.08GB,1
2023-10-27 00:09:41,3.44GB,1
2023-10-27 00:10:41,3.42GB,1
2023-10-27 00:11:41,3.41GB,1
2023-10-27 00:12:41,3.03GB,1
2023-10-27 00:13:41,3.14GB,1
2023-10-27 00:14:41,3.14GB,1
2023-10-27 00:15:41,3.15GB,1
2023-10-27 00:16:42,3.09GB,1
2023-10-27 00:17:42,3.18GB,1
2023-10-27 00:18:42,3.17GB,1
2023-10-27 00:19:42,3.20GB,1
2023-10-27 00:20:42,3.21GB,1
2023-10-27 00:21:42,3.29GB,1
2023-10-27 00:22:42,3.31GB,1
2023-10-27 00:23:42,3.31GB,1
2023-10-27 00:24:42,3.31GB,1
2023-10-27 00:25:42,3.30GB,1
2023-10-27 00:26:42,3.30GB,1
2023-10-27 00:27:42,3.30GB,1
2023-10-27 00:28:42,3.30GB,1
2023-10-27 00:29:42,3.30GB,1
2023-10-27 00:30:42,3.31GB,1
2023-10-27 00:31:42,3.32GB,1
2023-10-27 00:32:42,3.32GB,1
2023-10-27 00:33:43,3.32GB,1
2023-10-27 00:34:43,3.31GB,1
2023-10-27 00:35:43,3.31GB,1
2023-10-27 00:36:43,3.31GB,1
2023-10-27 00:37:43,3.31GB,1
2023-10-27 00:38:43,3.33GB,1
2023-10-27 00:39:43,3.33GB,1
2023-10-27 00:40:43,3.33GB,1
2023-10-27 00:41:43,3.34GB,1
2023-10-27 00:42:43,3.35GB,1
2023-10-27 00:43:43,2.81GB,1
2023-10-27 00:44:43,3.15GB,1
2023-10-27 00:45:43,3.31GB,1
2023-10-27 00:46:43,3.16GB,1
2023-10-27 00:47:43,3.16GB,1
2023-10-27 00:48:43,3.26GB,1
2023-10-27 00:49:43,3.26GB,1
2023-10-27 00:50:43,3.26GB,1
2023-10-27 00:51:44,3.27GB,1
2023-10-27 00:52:44,3.27GB,1
2023-10-27 00:53:44,3.28GB,1
2023-10-27 00:54:44,3.28GB,1
2023-10-27 00:55:44,3.28GB,1
2023-10-27 00:56:44,3.29GB,1
2023-10-27 00:57:44,3.29GB,1
2023-10-27 00:58:44,3.29GB,1
2023-10-27 00:59:44,3.30GB,1
2023-10-27 01:00:44,3.30GB,1
2023-10-27 01:01:44,3.31GB,1
2023-10-27 01:02:44,3.31GB,1
2023-10-27 01:03:44,3.31GB,1
2023-10-27 01:04:44,3.32GB,1
2023-10-27 01:05:44,3.32GB,1
